Province,Area,Bedrooms,Bathrooms,Floors,HouseType,Price
Đồng Nai,29.3,1,1,3,Nhà phố,6.113
Hải Phòng,27.5,3,3,2,Đất nền,4.713
Khánh Hòa,168.3,4,4,1,Chung cư,50.06
Cần Thơ,65.9,4,5,1,Nhà phố,15.835
Đồng Nai,33.5,2,3,2,Nhà phố,8.961
Bà Rịa-VT,168.6,2,2,2,Biệt thự,31.572
Đà Nẵng,99.6,4,5,4,Biệt thự,35.55
Đồng Nai,104.7,4,5,2,Biệt thự,30.138
Khánh Hòa,146.3,3,3,2,Đất nền,21.65
Cần Thơ,41.0,3,4,2,Nhà trọ,2.503
Hải Phòng,33.8,2,1,3,Nhà phố,5.587
Khánh Hòa,232.4,4,5,3,Nhà trọ,17.59
Khánh Hòa,38.0,3,2,3,Nhà trọ,5.326
Đà Nẵng,43.2,2,2,2,Biệt thự,16.5
Bình Dương,48.7,2,3,3,Nhà trọ,6.042
Cần Thơ,313.6,4,4,1,Nhà phố,31.013
TP.HCM,121.0,1,1,4,Nhà phố,31.999
Khánh Hòa,160.7,2,2,2,Chung cư,31.874
Bình Dương,101.3,3,3,2,Đất nền,12.4
TP.HCM,62.7,2,2,2,Nhà trọ,10.591
Cần Thơ,131.5,1,2,3,Đất nền,16.763
Hà Nội,35.4,4,3,1,Đất nền,9.064
Bà Rịa-VT,46.7,4,5,4,Đất nền,6.843
Bình Dương,139.7,4,5,2,Đất nền,15.812
Quảng Ninh,39.9,4,5,2,Nhà phố,7.508
Hà Nội,80.4,3,4,1,Nhà trọ,9.651
Bà Rịa-VT,82.6,4,3,2,Chung cư,11.368
Đà Nẵng,65.5,2,3,2,Đất nền,10.646
Đồng Nai,27.9,3,3,2,Chung cư,6.511
Hải Phòng,61.7,5,5,3,Nhà phố,14.558
Quảng Ninh,54.9,2,3,2,Nhà phố,9.193
Đà Nẵng,99.2,2,1,5,Biệt thự,41.948
Cần Thơ,96.2,3,2,2,Đất nền,8.356
Đà Nẵng,112.9,2,2,3,Biệt thự,37.632
Đồng Nai,60.0,1,2,1,Chung cư,7.16
Cần Thơ,123.2,4,5,2,Nhà trọ,10.439
Quảng Ninh,35.4,5,5,2,Biệt thự,21.087
Đồng Nai,30.2,3,3,2,Nhà phố,6.639
TP.HCM,22.2,1,1,4,Đất nền,5.573
Hải Phòng,66.7,1,1,1,Chung cư,8.055
Quảng Ninh,57.3,4,5,1,Nhà phố,12.714
TP.HCM,144.5,3,2,4,Nhà trọ,16.666
Bà Rịa-VT,61.0,2,1,1,Đất nền,6.665
Quảng Ninh,106.1,3,3,3,Nhà trọ,7.154
Bà Rịa-VT,146.6,2,1,2,Nhà trọ,7.243
Cần Thơ,59.6,3,2,3,Đất nền,7.964
TP.HCM,107.6,4,5,1,Đất nền,22.955
Hải Phòng,164.2,3,4,1,Nhà trọ,13.768
Đồng Nai,42.8,3,2,2,Chung cư,5.752
Khánh Hòa,91.4,2,1,4,Đất nền,15.247
Đà Nẵng,59.8,3,3,2,Nhà phố,20.735
Hà Nội,44.5,3,3,2,Biệt thự,21.389
Hải Phòng,35.8,2,1,3,Chung cư,5.109
TP.HCM,44.1,3,4,4,Đất nền,18.108
Khánh Hòa,93.3,2,1,3,Đất nền,16.703
Hải Phòng,34.2,4,3,5,Chung cư,7.413
TP.HCM,64.7,3,4,1,Biệt thự,35.117
Bình Dương,146.6,5,5,1,Nhà trọ,13.293
Bình Dương,117.8,1,1,3,Nhà phố,24.796
Bà Rịa-VT,65.5,4,4,3,Đất nền,6.167
Hải Phòng,248.1,3,3,1,Biệt thự,44.189
Bình Dương,280.3,4,4,1,Nhà phố,48.361
TP.HCM,91.4,2,3,3,Chung cư,25.404
Bà Rịa-VT,20.5,3,2,1,Đất nền,3.169
TP.HCM,153.2,4,4,2,Nhà trọ,22.821
Bà Rịa-VT,22.7,2,2,2,Chung cư,3.234
Hải Phòng,218.3,2,3,2,Đất nền,13.011
Khánh Hòa,172.5,3,4,3,Biệt thự,55.424
Đồng Nai,261.0,3,2,2,Nhà phố,38.575
Quảng Ninh,105.2,2,1,3,Nhà phố,15.22
Khánh Hòa,72.5,2,3,2,Đất nền,9.103
Cần Thơ,68.7,2,2,2,Chung cư,5.336
TP.HCM,64.9,4,4,3,Nhà trọ,10.274
Cần Thơ,162.2,3,3,1,Biệt thự,42.039
Khánh Hòa,138.0,4,3,1,Đất nền,25.488
Bà Rịa-VT,96.8,5,5,1,Biệt thự,32.284
Quảng Ninh,58.4,3,3,1,Nhà phố,9.585
Quảng Ninh,436.0,1,2,2,Nhà trọ,17.195
Hà Nội,155.6,1,1,3,Biệt thự,67.5
